#Rules created by Clement Jonquet and Mehdi Mirzapour

@CONCEPT_FEATURES|Concept|Negation|Certainty|Temporality|Experiencer

@FEATURE_VALUES|Negation|affirm|negated
@FEATURE_VALUES|Certainty|certain|uncertain
@FEATURE_VALUES|Temporality|present|historical|hypothetical
@FEATURE_VALUES|Experiencer|patient|nonpatient

a cause d|both|termination|conditional|30
a cause de|both|termination|conditional|30
a condition|forward|trigger|conditional|30
a ecarte le patient|forward|trigger|negated|30
a ete ecarte|backward|trigger|negated|30
a ete ecartee|backward|trigger|negated|30
a ete elimine|backward|trigger|negated|30
a ete eliminee|backward|trigger|negated|30
a ete exclu|backward|trigger|negated|30
a ete exclue|backward|trigger|negated|30
a ete infirme|backward|trigger|negated|30
a ete infirmee|backward|trigger|negated|30
a l'exception d'|both|termination|negated|30
a l'exception de|both|termination|negated|30
a nie|forward|trigger|negated|30
a part|both|termination|negated|30
absence d'antecedent|both|pseudo|historical|30
absence d'antecedents|both|pseudo|historical|30
adequat pour l'ecarter|backward|trigger|negated|30
adequat pour l'eliminer|backward|trigger|negated|30
aucun changement suspect|both|pseudo|negated|30
aucune constatation pour indiquer|forward|trigger|negated|30
aucune nouvelle|forward|trigger|negated|30
aucunes|forward|trigger|negated|5
aucuns|forward|trigger|negated|5
ne \w+ d'aucun|forward|trigger|negated|30
ne \w+ d'aucun \w+ comme cause|forward|trigger|negated|30
ne \w+ d'aucun \w+ \w+ comme cause de|forward|trigger|negated|30
ne \w+ d'aucun \w+ \w+ comme cause d'|forward|trigger|negated|30
autres possibilites d'|both|termination|negated|30
autres possibilites de|both|termination|negated|30
auxiliaire|both|termination|negated|30
auxiliaires|both|termination|negated|30
avait ecarte|forward|trigger|negated|30
avait elimine|forward|trigger|negated|30
avait exclu|forward|trigger|negated|30
avait infirme|forward|trigger|negated|30
avions ecarte|forward|trigger|negated|30
avions elimine|forward|trigger|negated|30
avions exclu|forward|trigger|negated|30
avions infirme|forward|trigger|negated|30
avons ecarte|forward|trigger|negated|30
avons elimine|forward|trigger|negated|30
avons exclu|forward|trigger|negated|30
avons infirme|forward|trigger|negated|30
bien qu'|both|termination|negated|30
bien que|both|termination|negated|30
car|both|termination|conditional|30
car|both|termination|negated|30
cause d'|both|termination|negated|30
cause de|both|termination|negated|30
cause pour|both|termination|negated|30
causes d'|both|termination|negated|30
causes de|both|termination|negated|30
causes pour|both|termination|negated|30
